database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Bread, flat (pita or Lebanese), white, commercial",11.02,0.095,0.307,0.005,0,0.033,0,0,0,0,0,0.002,0.5,1.9,0.005,0.012,0.3,4.98,1.5
"Bread, flat (pita or Lebanese), wholemeal, commercial",10.74,0.086,0.327,0.006,0.001,0.042,0.002,0.001,0,0,0,0.001,0.45,1.6,0.012,0.027,0.55,4.7,2
"Bread, from white flour",10.5,0.095,0.382,0.006,0,0.042,0.001,0,0,0,0,0.002,0.84,0.96,0.008,0.014,0.29,4.39,1.3
"Bread, from white flour, toasted",12.41,0.108,0.24,0.008,0.001,0.022,0,0,0,0,0,0,1.5,0.99,0.01,0.014,0.4,5.12,1.66
"Bread, from white flour, added calcium",10.01,0.097,0.382,0.006,0,0.055,0.001,0,0,0,0,0.003,2.28,1.59,0.011,0.012,0.27,4.42,1.1
"Bread, from white flour, added calcium, toasted",11.64,0.112,0.281,0.006,0,0.064,0.001,0.001,0,0,0,0.004,2.65,1.85,0.012,0.013,0.32,5.14,1.28
"Bread, from white flour, added fibre",10.32,0.097,0.38,0.006,0,0.045,0.001,0.001,0,0,0,0.005,0.56,0.98,0.008,0.014,0.27,4.48,1.11
"Bread, from white flour, added fibre, toasted",12.29,0.115,0.262,0.006,0,0.054,0.001,0.001,0,0,0,0.005,0.67,1.17,0.01,0.017,0.32,5.34,1.32
"Bread, from white flour, added iron",10.01,0.097,0.382,0.006,0,0.055,0.001,0,0,0,0,0.003,0.68,1.31,0.008,0.071,0.41,4.47,1.35
"Bread, from white flour, added iron, toasted",11.64,0.112,0.282,0.006,0,0.064,0.001,0.001,0,0,0,0.004,0.79,1.52,0.009,0.082,0.48,5.2,1.58
"Bread, from white flour, added omega-3 polyunsaturates",10.54,0.091,0.38,0.006,0,0.043,0.001,0.001,0,0,0,0.005,0.56,0.98,0.008,0.014,0.27,4.48,1.11
"Bread, from white flour, added omega-3 polyunsaturates, toasted",12.26,0.106,0.28,0.006,0,0.05,0.001,0.001,0,0,0,0.005,0.65,1.14,0.009,0.017,0.31,5.21,1.29
