database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Flathead, flesh, baked, no added fat",5.41,0.288,0.694,0,0.001,0.101,0.003,0.022,0,0.01,0.026,0.002,0.86,3.84,0.008,0.003,0.4,1.33,5.51
"Flathead, flesh, steamed, no added fat",4.87,0.261,0.719,0,0.001,0.113,0.003,0.019,0,0.01,0.022,0.004,0.45,2.86,0.007,0.004,0.32,0.91,4.05
"Gemfish, flesh, raw",3.35,0.14,0.794,0,0,0.062,0.001,0.008,1.31,0,0.021,0.01,0.11,1.04,0.003,0.004,0.13,0.4,1.42
"Gemfish, flesh, baked, no added fat",4.6,0.192,0.718,0,0,0.085,0.002,0.009,1.52,0,0.023,0.014,0.16,1.43,0.004,0.005,0.18,0.54,1.95
"Gemfish, flesh, steamed, no added fat",5.69,0.264,0.738,0,0.001,0.096,0.002,0.017,2.06,0,0.022,0.016,0.1,1.96,0.005,0.007,0.25,0.72,2.74
"Kingfish, yellowtail, aquacultured, fillet, with skin, raw",8.58,0.229,0.631,0,0.001,0.075,0.004,0.019,0.22,0,0.021,0.033,1.17,2.77,0.007,0.005,0.29,0.36,3.88
"Kingfish, yellowtail, aquacultured, fillet, with skin, grilled, no added fat",11.75,0.313,0.494,0,0.002,0.103,0.005,0.022,0.25,0,0.023,0.045,1.6,3.79,0.01,0.006,0.4,0.49,5.32
"Kingfish, yellowtail, aquacultured, fillet, with skin, steamed, no added fat",10.21,0.272,0.56,0,0.001,0.089,0.004,0.019,0.22,0,0.02,0.039,1.39,2.97,0.009,0.006,0.31,0.36,3.93
"Mackerel, raw",5.61,0.193,0.717,0.001,0.002,0.06,0.004,0.024,0.39,0.02,0.021,0.007,0.11,2.05,0.005,0.004,0.33,0.59,4.46
"Mackerel, grilled, no added fat",7.68,0.264,0.612,0.002,0.002,0.082,0.005,0.027,0.45,0.02,0.023,0.009,0.15,2.81,0.007,0.006,0.45,0.81,6.11
"Mackerel, steamed, no added fat",6.68,0.23,0.663,0.001,0.002,0.071,0.004,0.024,0.39,0.01,0.02,0.008,0.13,2.2,0.006,0.005,0.35,0.6,4.51
"Milkfish, aquacultured, flesh, raw",7.95,0.234,0.642,0.002,0.001,0.077,0.004,0.02,0,0,0.021,0.01,0.18,3.5,0.008,0.004,0.31,0.84,3.47
"Milkfish, aquacultured, flesh, grilled, no added fat",10.89,0.32,0.51,0.002,0.002,0.105,0.005,0.023,0,0,0.023,0.013,0.25,4.79,0.012,0.006,0.42,1.15,4.75
"Milkfish, aquacultured, flesh, steamed, no added fat",9.46,0.278,0.574,0.001,0.001,0.092,0.004,0.02,0,0,0.02,0.011,0.22,3.75,0.01,0.005,0.33,0.85,3.51
"Morwong, fillet, raw",5.44,0.194,0.768,0.001,0.001,0.089,0.003,0.026,0.12,0,0.021,0.004,0.55,2.64,0.004,0.004,0.26,0.89,3.88
"Morwong, fillet, grilled, no added fat",7.45,0.265,0.682,0.001,0.001,0.122,0.003,0.03,0.14,0,0.023,0.006,0.75,3.62,0.006,0.006,0.36,1.22,5.32
"Morwong, fillet, steamed, no added fat",5.28,0.23,0.728,0.001,0.001,0.084,0.003,0.024,0,0,0.022,0.009,0.24,2.54,0.005,0.004,0.29,0.86,3.81
"Mullet, yelloweye, fillet, raw",5.49,0.192,0.761,0,0.001,0.084,0.004,0.049,0.12,0,0.021,0.006,0.53,2.71,0.011,0.004,0.28,1.31,3.09
"Mullet, yelloweye, fillet, baked, no added fat",7.52,0.264,0.673,0,0.001,0.115,0.005,0.06,0.15,0,0.026,0.008,0.73,3.71,0.015,0.006,0.38,1.79,4.23
"Mullet, yelloweye, fillet, steamed, no added fat",5.59,0.22,0.736,0,0.001,0.089,0.002,0.049,0.08,0,0.022,0.007,0.4,2.9,0.011,0.006,0.34,1.44,2.84
"Mulloway, flesh, raw",4.35,0.206,0.773,0,0.001,0.074,0.002,0.002,0,0.01,0.021,0.005,0.26,2.05,0.004,0.004,0.25,0.54,3.32
"Mulloway, flesh, baked, no added fat",5.95,0.282,0.689,0,0.002,0.102,0.002,0.002,0,0.01,0.026,0.006,0.36,2.81,0.006,0.006,0.34,0.74,4.55
"Mulloway, flesh, steamed, no added fat",5.4,0.232,0.736,0.001,0.002,0.082,0.001,0.004,0,0.01,0.022,0.006,0.3,2.23,0.006,0.006,0.28,0.63,3.53
"Salmon, Atlantic, fillet, raw",9.65,0.205,0.623,0.001,0.001,0.061,0.006,0.022,0.1,0,0.06,0.025,0.48,2.6,0.004,0.003,0.28,0.32,3.66
"Salmon, Atlantic, fillet, grilled, no added fat",10.78,0.229,0.578,0.001,0.001,0.068,0.006,0.02,0.09,0,0.054,0.028,0.54,2.9,0.005,0.004,0.32,0.36,4.09
"Salmon, Atlantic, fillet, steamed, no added fat",11.35,0.241,0.556,0.001,0.001,0.072,0.005,0.022,0.1,0,0.057,0.029,0.57,2.75,0.005,0.004,0.3,0.32,3.66
"Salmon, Pacific King, fillet, skinless, raw",11.49,0.181,0.583,0.002,0.001,0.098,0.005,0.007,0.4,0.02,0.06,0.042,0.09,2.41,0.004,0.002,0.27,0.3,3.8
"Salmon, Pacific King, fillet, skinless, grilled, no added fat",12.84,0.202,0.534,0.002,0.001,0.109,0.005,0.006,0.38,0.02,0.054,0.047,0.1,2.69,0.005,0.003,0.3,0.33,4.24
"Salmon, Pacific King, fillet, steamed, no added fat",13.52,0.213,0.51,0.002,0.001,0.115,0.005,0.007,0.4,0.02,0.057,0.049,0.1,2.55,0.005,0.003,0.28,0.3,3.8
"Sardine, Australian, whole, raw",4.42,0.197,0.729,0,0.003,0.052,0.003,0.083,1.06,0,0.06,0.005,7.25,5.75,0.031,0.04,0.46,6.65,3.52
"Sardine, Australian, whole, fried, no added fat",4.44,0.22,0.705,0.001,0.002,0.097,0.002,0.068,0.91,0,0.057,0.004,8.72,6.9,0.033,0.061,0.54,7.94,4.02
"Sprat, blue, wild caught, flesh, skin & bones, raw",3.78,0.187,0.75,0.001,0.002,0.083,0.002,0.07,0.91,0,0.06,0.004,7.42,5.87,0.028,0.052,0.46,6.75,3.42
"Sprat, blue, wild caught, flesh, skin & bones, fried, no added fat",4.44,0.22,0.705,0.001,0.002,0.097,0.002,0.074,0.91,0,0.064,0.004,8.72,6.9,0.033,0.061,0.54,7.94,4.02
"Shark, fillet, without skin, raw",4.34,0.246,0.774,0,0.001,0.106,0.002,0.008,0,0,0.021,0.003,0.1,2.08,0.003,0.002,0.34,1.8,3.45
"Shark, fillet, without skin, baked, no added fat",5.95,0.338,0.69,0,0.001,0.145,0.002,0.009,0,0,0.026,0.004,0.13,2.85,0.005,0.002,0.46,2.46,4.73
"Shark, fillet, without skin, steamed, no added fat",4.88,0.277,0.746,0,0.001,0.119,0.002,0.008,0,0,0.021,0.004,0.09,1.87,0.003,0.001,0.3,1.62,3.1
"Shark, battered, deep-fried, takeaway outlet",10.9,0.155,0.542,0.001,0,0.078,0.004,0.002,0.12,0,0.003,0.031,0.11,2.2,0.004,0.004,0.24,2.95,3.1
"Silver perch, aquacultured, raw",9.24,0.195,0.618,0.002,0.001,0.07,0.004,0.02,0,0,0.021,0.01,0.18,3.5,0.009,0.004,0.31,0.7,3.47
"Silver perch, aquacultured, baked, no added fat",12.66,0.267,0.477,0.002,0.002,0.095,0.005,0.023,0,0,0.023,0.013,0.25,4.79,0.012,0.006,0.42,0.96,4.75
"Silver perch, aquacultured, steamed, no added fat",11,0.232,0.545,0.001,0.001,0.083,0.004,0.02,0,0,0.02,0.011,0.22,3.75,0.01,0.005,0.33,0.71,3.51
"Snapper, fillet, raw",4.04,0.203,0.77,0.001,0.001,0.089,0.003,0.025,0.05,0.01,0.021,0.006,1.23,3.47,0.007,0.003,0.32,0.85,4.49
"Snapper, fillet, baked, no added fat",5.54,0.278,0.686,0.001,0.001,0.122,0.003,0.031,0.06,0.01,0.026,0.008,1.68,4.75,0.01,0.004,0.44,1.16,6.15
"Snapper, fillet, steamed, no added fat",5.54,0.278,0.686,0.001,0.001,0.122,0.003,0.032,0.06,0.01,0.026,0.008,1.35,3.8,0.008,0.003,0.35,0.93,4.92
"Tilapia, fillet, raw",4.77,0.185,0.752,0.002,0.001,0.068,0.004,0.02,0,0,0.021,0.01,0.18,3.5,0.008,0.004,0.31,0.84,3.47
"Tilapia, fillet, baked, no added fat",6.54,0.253,0.66,0.002,0.002,0.093,0.005,0.025,0,0,0.026,0.013,0.25,4.79,0.01,0.006,0.42,1.15,4.75
"Tilapia, fillet, steamed, no added fat",5.68,0.22,0.704,0.001,0.001,0.081,0.004,0.02,0,0,0.023,0.011,0.22,3.75,0.009,0.005,0.33,0.85,3.51
"Trout, ocean, aquacultured, fillet, without skin, raw",12.05,0.174,0.543,0.002,0.001,0.066,0.004,0.02,0.08,0.01,0.021,0.026,0.73,2.21,0.008,0.004,0.32,2.47,2.91
"Trout, ocean, aquacultured, fillet, without skin, baked, no added fat",16.51,0.238,0.374,0.002,0.002,0.091,0.005,0.023,0.09,0.01,0.023,0.036,1,3.03,0.011,0.005,0.44,3.38,3.99
"Trout, ocean, aquacultured, fillet, without skin, steamed, no added fat",14.35,0.207,0.456,0.001,0.001,0.079,0.004,0.02,0.08,0.01,0.02,0.031,0.87,2.37,0.01,0.004,0.34,2.5,2.95
"Trout, rainbow, aquacultured, raw",6.45,0.196,0.7,0.001,0.001,0.06,0.006,0.022,0,0,0.021,0.025,0.48,2.6,0.008,0.003,0.28,0.7,3.66
"Trout, rainbow, aquacultured, baked, no added fat",8.83,0.268,0.589,0.001,0.001,0.082,0.007,0.026,0,0,0.023,0.034,0.66,3.56,0.011,0.004,0.39,0.96,5.02
"Trout, rainbow, aquacultured, steamed, no added fat",7.67,0.233,0.643,0.001,0.001,0.071,0.005,0.022,0,0,0.02,0.029,0.57,2.78,0.009,0.004,0.3,0.71,3.71
"Tuna, yellowfin, flesh, raw",4.35,0.234,0.71,0.004,0.001,0.143,0.004,0.005,0.18,0.01,0.021,0.005,0.16,1.91,0.005,0.007,0.5,0.37,4.44
"Tuna, yellowfin, flesh, baked, no added fat",5.96,0.32,0.603,0.006,0.001,0.195,0.005,0.006,0.21,0.01,0.023,0.007,0.22,2.62,0.007,0.01,0.68,0.51,6.08
"Tuna, yellowfin, flesh, steamed, no added fat",5.18,0.278,0.655,0.004,0.001,0.17,0.004,0.005,0.18,0.01,0.02,0.006,0.19,2.05,0.006,0.009,0.54,0.37,4.49
"Whiting, King George, flesh, raw",3.62,0.198,0.776,0,0,0.082,0.002,0.015,0,0.01,0.021,0.006,0.37,2.53,0.008,0.002,0.28,0.7,3.53
"Whiting, King George, flesh, baked, no added fat",5.17,0.282,0.679,0,0,0.117,0.003,0.019,0,0.01,0.027,0.008,0.53,3.61,0.011,0.003,0.4,1,5.04
"Whiting, King George, flesh, steamed, no added fat",4.37,0.233,0.734,0,0,0.088,0.002,0.014,0,0.01,0.022,0.007,0.19,2.52,0.009,0.003,0.29,0.69,3.32
"Fish, eel, raw",7.45,0.184,0.683,0.002,0,0.07,0.001,0.03,10.43,0.02,0.021,0.04,0.2,2.16,0.016,0.005,0.2,0.51,2.72
"Fish, white flesh, battered, packaged frozen, baked, no added fat",8.2,0.122,0.55,0.001,0,0.033,0.001,0.005,0.01,0,0.003,0.032,0.21,1.87,0.004,0.005,0.23,3.83,2.43
"Fish, white flesh, crumbed, packaged frozen, baked, no added fat",8.56,0.118,0.571,0.001,0,0.033,0.001,0.005,0.01,0,0.003,0.032,0.21,1.87,0.005,0.005,0.24,3.83,2.43
"Fish, battered or crumbed, from takeaway outlet, deep fried, blended frying fat, ready to eat",10.06,0.152,0.511,0.001,0,0.039,0.003,0.01,0.01,0,0.003,0.002,0.21,1.87,0.01,0.005,0.23,4.06,2.43
"Abalone, black lip, aquacultured, raw",3.32,0.162,0.766,0,0.004,0.051,0.001,0.15,0.02,0,0,0.009,0.29,1.52,0.011,0.023,0.69,3.9,2.5
"Abalone, black lip, wild, raw",3.8,0.194,0.756,0,0.004,0.057,0.001,0.15,0.02,0,0,0.01,0.21,1.5,0.011,0.018,0.54,2.68,2.85
"Abalone, green lip, aquacultured, raw",3.45,0.171,0.752,0,0.004,0.053,0.001,0.15,0.02,0,0,0.004,0.58,1.55,0.015,0.026,0.65,7.92,2.6
"Abalone, green lip, wild, raw",3.63,0.187,0.74,0,0.004,0.056,0.001,0.15,0.02,0,0,0.018,0.19,1.32,0.005,0.022,0.45,2.55,2.52
"Abalone, brown lip, wild, raw",3.52,0.178,0.788,0,0.004,0.054,0.001,0.15,0.02,0,0,0.012,0.2,1.1,0.007,0.047,0.46,2.8,2.1
"Crab, flesh, purchased steamed or boiled",3.7,0.202,0.77,0,0.001,0.071,0.001,0.025,0,0.01,0.022,0,1.2,2.1,0.064,0.027,0.33,4.2,2.8
"Lobster, southern rock, wild, flesh, raw",3.7,0.202,0.78,0,0.001,0.044,0.002,0.003,0.08,0,0.021,0.02,0.57,2.88,0.02,0,0.41,2.83,3.64
"Lobster, southern rock, wild, flesh, purchased steamed or boiled",4.11,0.225,0.755,0,0.001,0.049,0.002,0.003,0.08,0,0.021,0.022,0.63,2.4,0.022,0,0.45,2.83,3.64
"Mussel, blue, steamed",4.38,0.16,0.752,0,0.001,0.038,0.001,0.2,0.57,0.05,0.022,0.011,1.73,1.22,0.031,0.03,0.76,3.53,1.3
"Octopus, raw",2.92,0.149,0.802,0,0,0.049,0.004,0.2,0.45,0.05,0.021,0.012,0.53,1.86,0.016,0.053,0.3,2.3,3.5
"Octopus, boiled, no added fat",3.24,0.166,0.78,0,0,0.055,0.003,0.178,0.45,0.04,0.021,0.013,0.59,1.65,0.018,0.056,0.3,2.04,3.11
"Oyster, native, aquacultured, raw",1.91,0.073,0.847,0,0.004,0.034,0.001,0.15,0.42,0,0.021,0.009,1.39,1.15,0.111,0.038,0.78,5.85,1.9
"Oyster, Pacific, aquacultured, raw",2.79,0.108,0.814,0,0.004,0.041,0.001,0.15,0.28,0.01,0.021,0.011,2.29,1.74,0.18,0.044,0.8,5.41,2.31
"Oyster, Sydney rock, aquacultured, raw",2.98,0.106,0.798,0,0.004,0.04,0.001,0.15,0.06,0,0.021,0.009,1.48,1.83,0.203,0.035,0.74,4.91,2.35
"Oyster, aquacultured, raw",2.68,0.101,0.815,0,0.004,0.039,0.001,0.15,0.24,0.01,0.021,0.011,1.9,1.66,0.174,0.04,0.78,5.35,2.25
"Prawn, banana, wild, flesh, raw",2.47,0.132,0.836,0,0.001,0.045,0.003,0.01,0.01,0,0,0.012,0.2,3.31,0.009,0.001,0.23,5.09,0.78
"Prawn, banana, aquacultured, purchased cooked",4.28,0.232,0.734,0,0.001,0.063,0.004,0.011,0.01,0,0,0.005,0.56,2.28,0.016,0.002,0.46,8.05,3.2
"Prawn, brown tiger, wild, flesh, raw",4.32,0.234,0.742,0,0.001,0.058,0.003,0.01,0.05,0,0,0.017,1.63,3.27,0.017,0.003,0.54,2.73,4.04
"Prawn, black tiger, aquacultured, purchased cooked",3.83,0.202,0.763,0,0.001,0.059,0.004,0.011,0.01,0,0,0.011,2.39,2.14,0.02,0.013,0.45,9.18,1.79
"Prawn, endeavour, wild, flesh, raw",4.08,0.224,0.754,0,0.001,0.057,0.003,0.01,0.01,0,0,0.018,0.59,2.84,0.016,0.002,0.56,3.3,3.64
"Prawn, school, wild, flesh, raw",3.45,0.178,0.782,0,0.001,0.051,0.003,0.01,0.04,0,0,0.019,5.83,2.8,0.015,0.028,0.48,1.14,3.06
"Prawn, Western king, wild, flesh, raw",4.37,0.239,0.742,0,0.001,0.059,0.003,0.01,0.01,0,0,0.017,0.45,3.26,0.015,0,0.5,2.68,4.12
"Prawn, flesh, raw (green)",3.81,0.207,0.768,0,0.001,0.055,0.003,0.01,0.02,0,0,0.016,0.72,3.17,0.014,0.002,0.45,3.45,3.14
"Prawn, flesh, cooked from raw, no added fat",5.07,0.271,0.686,0,0.001,0.076,0.005,0.014,0.01,0,0,0.01,1.85,2.76,0.022,0.009,0.57,10.77,3.12
"Scallop, raw",3.51,0.156,0.796,0,0.002,0.04,0.001,0.028,0.12,0,0.021,0.007,0.26,2.8,0.012,0.008,0.42,1.5,3.6
"Scallop, fried, no added fat",4.39,0.195,0.745,0,0.002,0.051,0.001,0.03,0.13,0,0.024,0.009,0.32,3.5,0.015,0.01,0.52,1.88,4.5
"Squid or calamari, raw",3.28,0.167,0.81,0.001,0,0.037,0.001,0.013,0.01,0.01,0.021,0.012,0.11,2.58,0.013,0.013,0.36,2.84,1.56
"Squid or calamari, fried, no added fat",4.1,0.209,0.762,0.001,0,0.047,0.001,0.014,0.01,0.01,0.024,0.015,0.14,3.22,0.016,0.016,0.45,3.55,1.95
"Anchovy, canned in oil, drained",7.62,0.254,0.495,0,0.004,0.128,0.002,0.009,0.04,0,0.064,0.033,1.67,2.52,0.029,0.025,0.69,54.8,1.8
"Cod, smoked, raw",3.56,0.188,0.811,0.001,0.002,0.047,0.001,0.003,0.07,0.02,0.021,0.004,0.2,1.8,0.003,0.002,0.27,6.55,3
"Cod or hake, smoked, steamed",3.96,0.201,0.766,0.001,0.001,0.047,0.001,0.003,0.05,0.01,0.022,0.005,0.2,2.5,0.005,0.002,0.27,5.48,2.52
"Fish finger, crumbed, purchased frozen, raw",9.24,0.121,0.573,0.001,0.001,0.028,0,0.004,0.15,0,0.006,0.005,0.13,1.7,0.004,0.005,0.22,3,1.9
"Fish finger, crumbed, purchased frozen, grilled, no added fat",10.5,0.138,0.515,0.001,0.001,0.032,0,0.004,0.15,0,0.006,0.005,0.15,1.93,0.005,0.005,0.25,3.41,2.16
"Salmon, pink, canned in brine, drained",5.79,0.207,0.709,0,0.002,0.092,0.002,0.013,0.16,0,0.106,0.009,1.91,3.12,0.011,0.011,0.3,3.82,2.86
"Salmon, flavoured, canned, undrained",5.38,0.155,0.746,0,0.002,0.068,0.002,0.013,0.43,0,0.106,0.009,1.02,2.31,0.007,0.011,0.25,4.2,2.4
"Salmon, red, canned in brine, drained",6.17,0.244,0.696,0,0,0.106,0.002,0.007,0.27,0,0.106,0.009,1.3,2.6,0.006,0.005,0.26,3.5,2.7
"Salmon, smoked, sliced",7.87,0.243,0.624,0.004,0.001,0.154,0.005,0.015,0,0,0.042,0.006,0.08,3,0.004,0.003,0.34,10.15,4.2
"Tuna, canned in brine, drained",5.4,0.261,0.744,0,0,0.182,0.001,0.011,0,0,0.027,0,0.05,1.86,0.008,0.012,0.24,2,2.05
"Bar, snack, oat based, baked",19.1,0.08,0.092,0.002,0,0.011,0,0,1.1,0,0.001,0.017,0.78,2.5,0.011,0.025,0.89,1.7,3.4
"Tuna, flavoured, canned in oil, drained",5.77,0.18,0.723,0,0,0.147,0.001,0.011,0.14,0,0.031,0.019,0.13,1.6,0.005,0.012,0.27,4.3,2.5
"Bar, muesli, plain or with dried fruit",15.86,0.083,0.087,0.001,0.001,0.034,0.002,0,0.61,0,0,0.005,0.26,2.34,0.007,0.021,0.72,1.44,3.35
"Ball, snack, date based",13.89,0.088,0.134,0.001,0.001,0.029,0.003,0,0.02,0,0,0.014,1,2.4,0.022,0.059,1.6,0.35,9.7
"Bar, muesli, with nuts",18.61,0.094,0.062,0.001,0.001,0.035,0.002,0,0.44,0,0,0.011,0.29,1.97,0.009,0.019,0.62,1.62,3.18
"Bar, snack, with >55% nuts",21.63,0.188,0.051,0.002,0.001,0.101,0.001,0,0,0,0,0.102,0.99,3.7,0.023,0.023,1.8,0.39,5.8
"Bar, snack, with >35% nuts, added protein",19.82,0.25,0.056,0.001,0,0.059,0.001,0,0.52,0,0,0.065,0.88,3.4,0.019,0.033,1.1,2.7,4.5
"Bar, muesli, plain or with dried fruit, chocolate-coated",16.53,0.061,0.069,0.002,0.002,0.026,0.001,0,0.38,0,0,0.006,0.37,2.25,0.012,0.016,0.68,0.7,2.72
"Bar, muesli, plain or with dried fruit, yoghurt-coated",16.75,0.066,0.082,0.002,0.001,0.03,0.002,0,0.5,0.02,0,0.005,0.97,1.32,0.001,0.009,0.62,0.74,3.59
"Bar, snack, fruit filled, baked",14,0.039,0.143,0.001,0.019,0.02,0.001,0,0.34,0.38,0,0.003,0.22,0.4,0.004,0.003,0.19,1.99,1.74
"Corn chips, plain, toasted, salted",20.53,0.075,0.014,0.001,0,0.008,0.001,0,0.11,0,0,0.036,1.3,2.55,0.015,0.013,0.92,4.2,1.7
"Extruded snack, cheese flavoured",20.38,0.088,0.015,0,0,0.019,0.001,0,1.32,0,0,0.048,1.9,1.7,0.014,0.003,0.29,10,2.3
"Snack, grain based, extruded, flavoured",19.34,0.074,0.018,0.002,0,0.037,0.002,0,0.13,0,0,0.073,0.2,2.3,0.012,0.019,0.79,3.2,4.3
"Noodle snack, wheat, flavoured, dry",20.8,0.104,0.047,0.001,0.003,0.017,0,0.009,0,0,0,0.01,0.23,1.16,0.008,0.02,0.25,9.38,1.83
"Popcorn, commercial, butter flavoured, salted",20.53,0.091,0.034,0.001,0.001,0.039,0.003,0,1.44,0,0,0.026,0.07,3.1,0.024,0.022,1.42,6.26,2.6
"Potato crisps or chips, plain, salted",21.4,0.06,0.018,0.002,0,0.021,0,0,0,0.23,0,0.086,0.21,1.62,0.01,0.012,0.6,5.92,12.5
"Potato crisps or chips, salt & vinegar flavoured",20.97,0.068,0.023,0.002,0.001,0.02,0.001,0,0,0.24,0,0.068,0.22,1.28,0.007,0.01,0.64,9.7,12
"Potato crisps or chips, flavoured (other than salt & vinegar)",20.92,0.068,0.023,0.002,0.001,0.02,0.001,0,0,0.24,0,0.068,0.24,1.55,0.008,0.019,0.6,6.64,13.5
"Potato crisps or chips, reformed, salted",23.14,0.057,0.037,0.002,0.001,0.045,0.007,0,0.01,0.1,0,0.086,0.54,1.25,0.006,0.013,0.46,4.3,7
"Vegetable crisps or chips, sweet potato & taro, flavoured",20.51,0.03,0.024,0,0,0.005,0,0,5.33,0,0,0.082,0.82,1.1,0.005,0.017,0.51,4.4,7.7
"Potato straws, French fries, plain",21.65,0.069,0.016,0.001,0.001,0.034,0,0,0,0.42,0,0.086,0.31,1.62,0.011,0.036,0.51,5.76,13.9
"Taco shell, from corn flour, plain",19.48,0.068,0.064,0.002,0,0.018,0.001,0,0,0,0,0.077,0.52,2.3,0.016,0.013,0.8,0.8,2.1
"Soup, broth style, with meat, instant dry mix",13.5,0.048,0.052,0.001,0.001,0.009,0.01,0.001,0.08,0,0,0.009,0.74,1.61,0.003,0.007,0.12,50.2,0.16
"Soup, broth style, with meat & noodles, instant dry mix",15.2,0.108,0.049,0.001,0.001,0.025,0.001,0.001,0.6,0,0,0.007,0.43,1.5,0.007,0.015,0.32,45.36,0.98
"Soup, chicken & noodle, cup of soup, prepared from instant dry mix with water",0.79,0.007,0.946,0.001,0,0.001,0,0,0,0,0,0,0.05,0.07,0,0.001,0.04,4.4,0.11
"Soup, cream variety, instant dry mix",16.28,0.053,0.05,0.001,0.002,0.012,0.003,0.001,0.59,0,0,0.022,0.42,2.14,0.004,0.008,0.14,42.3,3.39
"Soup, vegetable, instant dry mix",12.01,0.067,0.047,0.002,0.001,0.012,0.006,0.002,1.36,0,0,0.003,1.08,2.17,0.006,0.011,0.36,71.3,0.22
"Soup, vegetable & noodle, instant dry mix",15.14,0.087,0.054,0.002,0,0.015,0.002,0.002,0.38,0,0,0.025,0.42,1.51,0.008,0.019,0.41,20.3,0.15
"Bar, cherry & coconut centre, dark chocolate-coated",17.85,0.044,0.097,0,0.001,0.01,0,0,0.18,0,0,0.005,0.5,1.1,0.008,0.009,0.58,0.46,2.7
"Bar, coconut cream centre, milk chocolate-coated",17.78,0.045,0.082,0,0.002,0.012,0,0.001,0.39,0,0,0.002,0.87,1.3,0.009,0.018,0.41,1.3,3.1
"Bar, honeycomb centre, milk chocolate-coated",17.72,0.026,0.021,0.001,0.004,0.045,0,0.001,0.07,0,0,0.001,0.76,1.1,0.003,0.009,0.31,2.6,3.4
"Bar, nougat & caramel centre, milk chocolate-coated",17.12,0.052,0.064,0.001,0.004,0.009,0,0.001,0.66,0,0,0.012,1.6,1.6,0.008,0.016,0.34,1.9,2.9
"Chocolate, compound, cooking",21.4,0.04,0.014,0,0.002,0.013,0,0,0,0,0,0.002,0.78,1.6,0.014,0.02,0.87,0.45,6.5
"Chocolate, dark, high cocoa solids",22.02,0.039,0.003,0.001,0.001,0.025,0,0.001,0.21,0,0,0.004,0.52,2,0.02,0.044,1.2,0.55,4.4
"Chocolate, dark, no added sugar",21.18,0.069,0.002,0,0.001,0.015,0,0.001,0.02,0,0,0.009,0.51,2.1,0.02,0.15,1.5,0.03,5.6
"Chocolate, milk",21.78,0.076,0.013,0.001,0.003,0.02,0.001,0.002,0.79,0.05,0,0.007,2.52,2.6,0.012,0.014,0.49,0.68,4.25
"Chocolate, milk, fondant or caramel filled",20.02,0.06,0.042,0.001,0.004,0.019,0,0.002,0.8,0,0,0.008,1.7,1.8,0.009,0.013,0.41,0.79,3.2
"Chocolate, milk, with dried fruit & nuts",20.8,0.078,0.036,0.001,0.003,0.022,0.001,0.001,0.61,0.04,0,0.02,2.18,2.49,0.014,0.017,0.64,0.62,5.24
"Chocolate, milk, with nuts",23.25,0.099,0.023,0.001,0.003,0.032,0.002,0.001,0.56,0.03,0,0.057,2.08,2.78,0.016,0.02,0.85,0.48,5.05
"Chocolate, white",22.73,0.071,0.014,0.001,0.006,0.017,0,0,0.06,0,0,0.091,2.3,2.1,0.009,0,0.25,0.78,3.1
"Confectionery, almond, chocolate-coated",22.09,0.094,0.019,0.001,0.003,0.03,0.001,0.001,0.67,0.04,0,0.053,2.54,3,0.016,0.018,0.82,0.58,4.81
"Confectionery, chocolate centre, sugar-coated",20.32,0.048,0.015,0.001,0.003,0.015,0,0.002,0.28,0,0,0.002,1.1,1.2,0.008,0.013,0.45,0.55,2.9
"Confectionery, dried fruit & nuts, chocolate-coated",20.83,0.097,0.053,0.001,0.002,0.051,0.002,0.001,0.39,0.02,0,0.023,1.61,2.45,0.014,0.016,0.71,0.36,6.04
"Confectionery, peanut, chocolate-coated",23.34,0.133,0.014,0.002,0.003,0.091,0.003,0.001,0.52,0.03,0,0.012,1.83,3.01,0.018,0.018,0.94,1.74,5.08
"Confectionery, sultana, chocolate-coated",19.13,0.061,0.058,0.001,0.002,0.015,0.001,0.001,0.55,0.03,0,0.005,1.92,2.06,0.01,0.016,0.45,0.5,5.84
"Chutney or relish, commercial",7.52,0.005,0.521,0,0,0.009,0.001,0,0.1,0,0,0.083,0.25,0.2,0,0.009,0.13,6.9,2.1
"Jam, berry",11,0.003,0.307,0,0,0.004,0,0,0,0,0,0.001,0.08,0.07,0.001,0.003,0.06,0.12,0.56
"Jam, stone fruit",10.5,0.002,0.315,0,0,0.007,0,0,0.08,0.09,0,0.001,0.05,0.06,0,0.002,0.04,0.14,0.84
"Jam, plum",10.5,0.002,0.315,0,0,0.007,0,0,0.03,0.09,0,0.001,0.05,0.06,0,0.002,0.04,0.14,0.84
"Marmalade, orange",10.6,0.001,0.312,0,0,0,0.001,0,0,0.02,0,0.001,0.15,0.05,0,0.003,0.29,0.33,0.27
"Spread, hazelnut & chocolate flavoured",21.92,0.068,0.01,0.001,0.003,0.019,0.001,0,0.01,0,0,0.014,1.3,1.9,0.013,0.012,0.75,0.42,4.3
"Glucose, liquid or syrup",12.68,0,0.204,0,0,0,0,0,0,0,0,0,0.08,0.11,0,0.005,0.02,1.5,0.03
Honey,11.62,0.003,0.153,0,0,0,0,0,0,0,0,0,0.08,0.04,0.002,0.001,0.02,0.08,0.66
